


2022-08-18 21:57:51 [ICE] ERROR : DISCONNECTED 2
2022-08-18 21:57:51 [SYSTEM] PLATFORM PHYSICALLY OPENED NOW
2022-08-18 21:57:53 [ICE] SERIAL ttyS6 OPEN SUCCESS!
2022-08-18 21:57:53 [ICE] SERIAL ttyS7 OPEN SUCCESS!
2022-08-18 21:57:53 [BARCODE] SERIAL ttyS4 OPEN SUCCESS!
2022-08-18 21:57:59 [USER INPUT] UI : UNLOCK
2022-08-18 21:58:05 [BARCODE] NEW BARCODE IN : a2738593-> a2738593
2022-08-18 21:58:05 [BARCODE] NEW BARCODE IN : 8z-> a27385938z
2022-08-18 21:58:05 [BARCODE] NEW BARCODE READ : 27385938
2022-08-18 21:58:07 [BARCODE] NEW BARCODE IN : a2738593-> a2738593
2022-08-18 21:58:07 [BARCODE] NEW BARCODE IN : 8z-> a27385938z
2022-08-18 21:58:07 [BARCODE] NEW BARCODE READ : 27385938
2022-08-18 21:58:11 [USER INPUT] EXIT : TERMINATE PROGRAM



2022-08-18 21:58:27 [SYSTEM] Core Program Start
2022-08-18 21:58:27 [ROBOT] ERROR : DISCONNECTED
2022-08-18 21:58:27 [ICE] ERROR : DISCONNECTED 1
2022-08-18 21:58:27 [ICE] ERROR : DISCONNECTED 2
2022-08-18 21:58:28 [SYSTEM] PLATFORM PHYSICALLY OPENED NOW
2022-08-18 21:58:29 [ICE] SERIAL ttyS6 OPEN SUCCESS!
2022-08-18 21:58:29 [ICE] SERIAL ttyS7 OPEN SUCCESS!
2022-08-18 21:58:29 [BARCODE] SERIAL ttyS4 OPEN SUCCESS!
2022-08-18 21:58:33 [USER INPUT] UI : UNLOCK
2022-08-18 21:59:14 [OUTLET] ERROR : Sonar Sensor Error 1
2022-08-18 21:59:14 [OUTLET] ERROR : Sonar Sensor Error 2
2022-08-18 21:59:38 [KIOSK] Disconnected 
2022-08-18 21:59:39 [BARCODE] NEW BARCODE IN : a2738593-> a2738593
2022-08-18 21:59:39 [BARCODE] NEW BARCODE IN : 8z-> a27385938z
2022-08-18 21:59:39 [BARCODE] NEW BARCODE READ : 27385938



2022-08-18 22:02:11 [SYSTEM] Core Program Start
2022-08-18 22:02:11 [ROBOT] ERROR : DISCONNECTED
2022-08-18 22:02:11 [ICE] ERROR : DISCONNECTED 1
2022-08-18 22:02:11 [ICE] ERROR : DISCONNECTED 2
2022-08-18 22:02:12 [SYSTEM] PLATFORM PHYSICALLY OPENED NOW
2022-08-18 22:02:12 [LAN2CAN] CONNECTED SOCKET
2022-08-18 22:02:12 [SYSTEM] PLATFORM PHYSICALLY CLOSED NOW
2022-08-18 22:02:12 [OUTLET] ERROR : Sonar Sensor Error 1
2022-08-18 22:02:12 [OUTLET] ERROR : Sonar Sensor Error 2
2022-08-18 22:02:13 [ICE] SERIAL ttyS6 OPEN SUCCESS!
2022-08-18 22:02:13 [ICE] SERIAL ttyS7 OPEN SUCCESS!
2022-08-18 22:02:13 [BARCODE] SERIAL ttyS4 OPEN SUCCESS!
2022-08-18 22:02:17 [USER INPUT] UI : UNLOCK
2022-08-18 22:02:21 [BARCODE] NEW BARCODE IN : a2738593-> a2738593
2022-08-18 22:02:21 [BARCODE] NEW BARCODE IN : 8z-> a27385938z
2022-08-18 22:02:21 [BARCODE] NEW BARCODE READ : 27385938
2022-08-18 22:02:22 [BARCODE] NEW BARCODE IN : a2738593-> a2738593
2022-08-18 22:02:22 [BARCODE] NEW BARCODE IN : 8z-> a27385938z
2022-08-18 22:02:23 [BARCODE] NEW BARCODE READ : 27385938
2022-08-18 22:03:22 [KIOSK] Disconnected 
